Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
#N/A,,,,,,,,,,,,_SqGvhLVK9wApfGIZLO6sG,,https://www.doenet.org/courseactivityeditor//_SqGvhLVK9wApfGIZLO6sG
#N/A,,,,,,,,,Link to 40. BA-Fns: Mult-choice find inverse,,,_UXMTKDtjhVMWt0FUj6UhZ,,https://www.doenet.org/courseactivityeditor//_UXMTKDtjhVMWt0FUj6UhZ
#N/A,,,,,,,,HWV 3.7 - Function composition,,,,_EslRWT5sSwDZDTk5eRQ6m,,https://www.doenet.org/courseactivityeditor//_EslRWT5sSwDZDTk5eRQ6m
#N/A,,,,,,,,,,,,_fkiV3Fso7Yfcf8XChQ7yp,,https://www.doenet.org/courseactivityeditor//_fkiV3Fso7Yfcf8XChQ7yp
#N/A,,,,,,,,,Link to 41. BA-Fns: Mult-choice function composition,,,_77pwDm691EWuiWHAcfsRe,,https://www.doenet.org/courseactivityeditor//_77pwDm691EWuiWHAcfsRe
#N/A,,,,,,,,HWV 3.8 - Piecewise-defined functions,,,,_K8YN8sRfIz8n37ZKyobsb,,https://www.doenet.org/courseactivityeditor//_K8YN8sRfIz8n37ZKyobsb
#N/A,,,,,,,,,,,,_OFNlOzcWy5WdeUyAbkztW,,https://www.doenet.org/courseactivityeditor//_OFNlOzcWy5WdeUyAbkztW
#N/A,,,,,,,,,Link to 49. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,_XzYcMy0Z0IVSkopVIv8fi,,https://www.doenet.org/courseactivityeditor//_XzYcMy0Z0IVSkopVIv8fi
#N/A,,,,,,,,,Link to 50. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,_B7UjY7669pNA703Yurlyd,,https://www.doenet.org/courseactivityeditor//_B7UjY7669pNA703Yurlyd
#N/A,,,,,MA1151 Assignments,,,,,,,_AG2I9ZIqq0XpWeDq42Is8,,https://www.doenet.org/courseactivityeditor//_AG2I9ZIqq0XpWeDq42Is8
#N/A,,,,,,,HWI - Introductory,,,,,_DUx7Zeer5xqfWJED3mYW3,,https://www.doenet.org/courseactivityeditor//_DUx7Zeer5xqfWJED3mYW3
#N/A,,,,,,,,HWI - 1.1 Right triangles,,,,_47dVSrUCs46DVwo7YHAuZ,,https://www.doenet.org/courseactivityeditor//_47dVSrUCs46DVwo7YHAuZ
#N/A,,,,,,,,,,,,_ts6FmQ7xOMhN3fI1hrDah,,https://www.doenet.org/courseactivityeditor//_ts6FmQ7xOMhN3fI1hrDah
#N/A,,,,,,,,,from TR-Triangles,,,_KwY7Hd92UBeBlbDNg3NJx,,https://www.doenet.org/courseactivityeditor//_KwY7Hd92UBeBlbDNg3NJx
#N/A,,,,,,,,,,"Link to 1. TR-Triangles: right triangle - find A, B, b",,_ELAEObbgeFtTfzBXZRaJI,,https://www.doenet.org/courseactivityeditor//_ELAEObbgeFtTfzBXZRaJI
#N/A,,,,,,,,,,"Link to 2. TR-Triangles: right triangle - find A,B,c",,_wi38VY1phojPBK2rHw8Va,,https://www.doenet.org/courseactivityeditor//_wi38VY1phojPBK2rHw8Va
#N/A,,,,,,,,,,"Link to 3. TR-Triangles: right triangle - find A,B,a",,_N4cvQfTTkk58XGYy1cMMr,,https://www.doenet.org/courseactivityeditor//_N4cvQfTTkk58XGYy1cMMr
#N/A,,,,,,,,,,"Link to 4. TR-Triangles: right triangle - find a,b,B",,_Ei0KoT6qapCOm6KpVhTeS,,https://www.doenet.org/courseactivityeditor//_Ei0KoT6qapCOm6KpVhTeS
#N/A,,,,,,,,,,"Link to 5. TR-Triangles: right triangle - find a,c,B",,_cacJYIsqEaVB4ogLMTYf8,,https://www.doenet.org/courseactivityeditor//_cacJYIsqEaVB4ogLMTYf8
#N/A,,,,,,,,,,"Link to 6. TR-Triangles: right triangle - find b,c,B",,_jlbjp8qX4zZ1tqTSzj7FU,,https://www.doenet.org/courseactivityeditor//_jlbjp8qX4zZ1tqTSzj7FU
#N/A,,,,,,,,,,"Link to 7. TR-Triangles: right triangle - find b,c,A",,_nH6pwWC3i1npbAnizxqxR,,https://www.doenet.org/courseactivityeditor//_nH6pwWC3i1npbAnizxqxR
#N/A,,,,,,,,,,"Link to 8. TR-Triangles: right triangle - find a,c,A",,_xgzRNqxefEJ0a7OrsTEVZ,,https://www.doenet.org/courseactivityeditor//_xgzRNqxefEJ0a7OrsTEVZ
#N/A,,,,,,,,,,"Link to 9. TR-Triangles: right triangle - find a,b,A",,_6ufQdRZb26lcasXGf3hrx,,https://www.doenet.org/courseactivityeditor//_6ufQdRZb26lcasXGf3hrx
#N/A,,,,,,,,HWI - 1.5 Large and negative angles,,,,_NcajAOZ9WIAZovEwmtIlA,,https://www.doenet.org/courseactivityeditor//_NcajAOZ9WIAZovEwmtIlA
#N/A,,,,,,,,,,,,_c7KD88OmPfYzRc3Q6RfKc,,https://www.doenet.org/courseactivityeditor//_c7KD88OmPfYzRc3Q6RfKc
#N/A,,,,,,,,,from TR-Basics,,,_P2B0sZwokk0xTTn0Pz0jl,,https://www.doenet.org/courseactivityeditor//_P2B0sZwokk0xTTn0Pz0jl
#N/A,,,,,,,,,,Link to 36. TR-Basics - sin of a large or neg angle in radians,,_6alDxPyfcgwBTqzKMyK7Z,,https://www.doenet.org/courseactivityeditor//_6alDxPyfcgwBTqzKMyK7Z
#N/A,,,,,,,,,,Link to 37. TR-Basics - sin of a large or neg angle in radians,,_gjtvxqJvYNgUpS837OiAR,,https://www.doenet.org/courseactivityeditor//_gjtvxqJvYNgUpS837OiAR
#N/A,,,,,,,,,,Link to 38. TR-Basics - sin of a large or neg angle in radians,,_baFxCxYo5TZjTpXUTx5uP,,https://www.doenet.org/courseactivityeditor//_baFxCxYo5TZjTpXUTx5uP
#N/A,,,,,,,,,,Link to 39. TR-Basics - sin of a large or neg angle in radians,,_JwR52TewYdidiXhgzTsYR,,https://www.doenet.org/courseactivityeditor//_JwR52TewYdidiXhgzTsYR
#N/A,,,,,,,,,,Link to 40. TR-Basics - sin of a large or neg angle in radians,,_diZvcmsy8bx8717EWEr58,,https://www.doenet.org/courseactivityeditor//_diZvcmsy8bx8717EWEr58
#N/A,,,,,,,,,,,,_GGTyaJC1dpa3pnJZ4LZQ3,,https://www.doenet.org/courseactivityeditor//_GGTyaJC1dpa3pnJZ4LZQ3
#N/A,,,,,,,,,from TR-Basics,,,_xsZIuV7N4d3FhwXQQ2gxK,,https://www.doenet.org/courseactivityeditor//_xsZIuV7N4d3FhwXQQ2gxK
#N/A,,,,,,,,,,Link to 41. TR-Basics - cos of a large or neg angle in radians,,_JunwSA5lzOpiYphFvGNcj,,https://www.doenet.org/courseactivityeditor//_JunwSA5lzOpiYphFvGNcj
#N/A,,,,,,,,,,Link to 42. TR-Basics - cos of a large or neg angle in radians,,_hg9qczypd1ErRdBVTnPBY,,https://www.doenet.org/courseactivityeditor//_hg9qczypd1ErRdBVTnPBY
#N/A,,,,,,,,,,Link to 43. TR-Basics - cos of a large or neg angle in radians,,_2qxMleO43DFKGthAYoRGP,,https://www.doenet.org/courseactivityeditor//_2qxMleO43DFKGthAYoRGP
#N/A,,,,,,,,,,Link to 44. TR-Basics - cos of a large or neg angle in radians,,_PJRlcCFmYQziMTZlAqFFm,,https://www.doenet.org/courseactivityeditor//_PJRlcCFmYQziMTZlAqFFm
#N/A,,,,,,,,,,Link to 45. TR-Basics - cos of a large or neg angle in radians,,_5LUmyXPsnIGQHdRYVyhvP,,https://www.doenet.org/courseactivityeditor//_5LUmyXPsnIGQHdRYVyhvP
#N/A,,,,,,,,,,,,_ecBgUfKAdEcunQiRCACOb,,https://www.doenet.org/courseactivityeditor//_ecBgUfKAdEcunQiRCACOb
#N/A,,,,,,,,,Link to 46. TR-Basics - sin of a large or neg angle in degrees,,,_KbwsWf10Zayby1FGAHtGz,,https://www.doenet.org/courseactivityeditor//_KbwsWf10Zayby1FGAHtGz
#N/A,,,,,,,,,Link to 47. TR-Basics - sin of a large or neg angle in degrees,,,_dVgZ7Ecl2DZUAmCK3mpF2,,https://www.doenet.org/courseactivityeditor//_dVgZ7Ecl2DZUAmCK3mpF2
#N/A,,,,,,,,,Link to 48. TR-Basics - cos of a large or neg angle in degrees,,,_lq1IR1FTgr88OzXBBA0zl,,https://www.doenet.org/courseactivityeditor//_lq1IR1FTgr88OzXBBA0zl
#N/A,,,,,,,,,Link to 49. TR-Basics - cos of a large or neg angle in degrees,,,_UU0bqKKH1vlXNJGRXtBya,,https://www.doenet.org/courseactivityeditor//_UU0bqKKH1vlXNJGRXtBya
#N/A,,,,,,,,HWI - 1.6A Find sin or cos Part 1,,,,_E3HvS6vquHLRaRBqtZW7N,,https://www.doenet.org/courseactivityeditor//_E3HvS6vquHLRaRBqtZW7N
#N/A,,,,,,,,,,,,_LlVdOYrJ3nHicPlJksuSn,,https://www.doenet.org/courseactivityeditor//_LlVdOYrJ3nHicPlJksuSn
#N/A,,,,,,,,,"Link to 54. TR-Basics - given sin of angle in quad I, find cos",,,_BiVNG9gfqwfSGmQlHuKUP,,https://www.doenet.org/courseactivityeditor//_BiVNG9gfqwfSGmQlHuKUP
#N/A,,,,,,,,,"Link to 57. TR-Basics - given sin of angle in quad IV, find cos",,,_FoduI1G0cI7P4ewec4VF8,,https://www.doenet.org/courseactivityeditor//_FoduI1G0cI7P4ewec4VF8
#N/A,,,,,,,,,"Link to 59. TR-Basics - given cos of angle in quad II, find sin",,,_hUPHuTVio46In71d4H3vM,,https://www.doenet.org/courseactivityeditor//_hUPHuTVio46In71d4H3vM
#N/A,,,,,,,,,"Link to 60. TR-Basics - given cos of angle in quad III, find sin",,,_eCjBgv9bBWt0YiNiaqpRA,,https://www.doenet.org/courseactivityeditor//_eCjBgv9bBWt0YiNiaqpRA
#N/A,,,,,,,,,"Link to 64. TR-Basics - given cos theta and range of theta Q3, find sin",,,_YMaqp86iWwdfIrhiGAtz8,,https://www.doenet.org/courseactivityeditor//_YMaqp86iWwdfIrhiGAtz8
#N/A,,,,,,,,,"Link to 65. TR-Basics - given cos theta and range of theta Q2, find sin",,,_MK4KgQAudSPuRRV8Us17B,,https://www.doenet.org/courseactivityeditor//_MK4KgQAudSPuRRV8Us17B
#N/A,,,,,,,,,"Link to 67. TR-Basics - given sin theta and range of theta Q4, find cos",,,_XWOTz7wQibCpIGNVmUSWq,,https://www.doenet.org/courseactivityeditor//_XWOTz7wQibCpIGNVmUSWq
#N/A,,,,,,,,,"Link to 70. TR-Basics - given sin theta and range of theta Q1, find cos",,,_IWzWOI7krqEfpl3NhISUf,,https://www.doenet.org/courseactivityeditor//_IWzWOI7krqEfpl3NhISUf
#N/A,,,,,,,,HWI - 1.6B Find sin or cos Part 2,,,,_KptSWA6ompoZUhNOcLBXO,,https://www.doenet.org/courseactivityeditor//_KptSWA6ompoZUhNOcLBXO
#N/A,,,,,,,,,,,,_LjFTPtyGlbFt4x5BFfZCs,,https://www.doenet.org/courseactivityeditor//_LjFTPtyGlbFt4x5BFfZCs
#N/A,,,,,,,,,"Link to 55. TR-Basics - given sin of angle in quad II, find cos",,,_ekToFZAeLJlXNITVgxxR4,,https://www.doenet.org/courseactivityeditor//_ekToFZAeLJlXNITVgxxR4
#N/A,,,,,,,,,"Link to 56. TR-Basics - given sin of angle in quad III, find cos",,,_qvvR5O3JUkpN5QbnPjgUK,,https://www.doenet.org/courseactivityeditor//_qvvR5O3JUkpN5QbnPjgUK
#N/A,,,,,,,,,"Link to 58. TR-Basics - given cos of angle in quad I, find sin",,,_4Cl5QPhFeU0YsYfxAREDI,,https://www.doenet.org/courseactivityeditor//_4Cl5QPhFeU0YsYfxAREDI
#N/A,,,,,,,,,"Link to 61. TR-Basics - given cos of angle in quad IV, find sin",,,_GmXjaiXBTJRTpSzv5e15R,,https://www.doenet.org/courseactivityeditor//_GmXjaiXBTJRTpSzv5e15R
#N/A,,,,,,,,,"Link to 63. TR-Basics - given cos theta and range of theta Q4, find sin",,,_s315HOrpL5ScuWNOvznhq,,https://www.doenet.org/courseactivityeditor//_s315HOrpL5ScuWNOvznhq
#N/A,,,,,,,,,"Link to 66. TR-Basics - given cos theta and range of theta Q1, find sin",,,_x6gtoG6Yo7oplX3nvYPnx,,https://www.doenet.org/courseactivityeditor//_x6gtoG6Yo7oplX3nvYPnx
#N/A,,,,,,,,,"Link to 68. TR-Basics - given sin theta and range of theta Q3, find cos",,,_bmieZQFYsWmUrDWjwpEOd,,https://www.doenet.org/courseactivityeditor//_bmieZQFYsWmUrDWjwpEOd
#N/A,,,,,,,,,"Link to 69. TR-Basics - given sin theta and range of theta Q2, find cos",,,_ivQBYjl10Gy7kYDJvfYJ5,,https://www.doenet.org/courseactivityeditor//_ivQBYjl10Gy7kYDJvfYJ5
#N/A,,,,,,,,"HWI - 1.7A Given tan, sin or cos",,,,_EZq3Dy6cWc0ePfBRs2feg,,https://www.doenet.org/courseactivityeditor//_EZq3Dy6cWc0ePfBRs2feg
#N/A,,,,,,,,,,,,_Z20KaoH4fMuBgbD64V1B3,,https://www.doenet.org/courseactivityeditor//_Z20KaoH4fMuBgbD64V1B3
#N/A,,,,,,,,,from TR-Basics,,,_rhIFqTB7kHRyFeIjz5Iea,,https://www.doenet.org/courseactivityeditor//_rhIFqTB7kHRyFeIjz5Iea
#N/A,,,,,,,,,,"Link to 71. TR-Basics - given tan theta and Quad I, find sin and cos",,_biT873DOlgGoutMBJhY3R,,https://www.doenet.org/courseactivityeditor//_biT873DOlgGoutMBJhY3R
#N/A,,,,,,,,,,"Link to 72. TR-Basics - given tan theta and Quad II, find sin and cos",,_TYlSExy5PbGoHymw5YiEY,,https://www.doenet.org/courseactivityeditor//_TYlSExy5PbGoHymw5YiEY
#N/A,,,,,,,,,,"Link to 73. TR-Basics - given tan theta and Quad III, find sin and cos",,_rkRdmkVNYxbIVboFo25aP,,https://www.doenet.org/courseactivityeditor//_rkRdmkVNYxbIVboFo25aP
#N/A,,,,,,,,,,Link to 74. TR-Basics - given tan theta and Quad IV find sin and cos,,_br9Z3TC3Tsec8cmtLGl9v,,https://www.doenet.org/courseactivityeditor//_br9Z3TC3Tsec8cmtLGl9v
#N/A,,,,,,,,,,,,_iYDQcOj3yreE12hxFe6DI,,https://www.doenet.org/courseactivityeditor//_iYDQcOj3yreE12hxFe6DI
#N/A,,,,,,,,,from TR-Basics #79-86,,,_4wAsVwn4IHrxLliXB9y1e,,https://www.doenet.org/courseactivityeditor//_4wAsVwn4IHrxLliXB9y1e
#N/A,,,,,,,,,,"Link to 79. TR-Basics - given cos theta and range Q4, find all other ratios",,_lX8SFkfgG7MpFwUK7NchG,,https://www.doenet.org/courseactivityeditor//_lX8SFkfgG7MpFwUK7NchG
#N/A,,,,,,,,,,"Link to 80. TR-Basics - given cos theta and range Q2, find other ratios",,_4LzE6vmWjvvHBFRheoeKN,,https://www.doenet.org/courseactivityeditor//_4LzE6vmWjvvHBFRheoeKN
#N/A,,,,,,,,,,"Link to 81. TR-Basics - given cos theta and range Q3, find other ratios",,_wPBxf7TiYsNeEItStC8gO,,https://www.doenet.org/courseactivityeditor//_wPBxf7TiYsNeEItStC8gO
#N/A,,,,,,,,,,"Link to 82. TR-Basics - given cos theta and range Q1, find other ratios",,_ZfjpUCa8V4JCXqmUFo1M3,,https://www.doenet.org/courseactivityeditor//_ZfjpUCa8V4JCXqmUFo1M3
#N/A,,,,,,,,,,"Link to 83. TR-Basics - given sin theta and range Q1, find other ratios",,_6q783WEY5ZxRyp73L6EUY,,https://www.doenet.org/courseactivityeditor//_6q783WEY5ZxRyp73L6EUY
#N/A,,,,,,,,,,"Link to 84. TR-Basics - given sin theta and range Q2, find other ratios",,_wru6gqA7MT6X9B7NQizvz,,https://www.doenet.org/courseactivityeditor//_wru6gqA7MT6X9B7NQizvz
#N/A,,,,,,,,,,"Link to 85. TR-Basics - given sin theta and range Q3, find other ratios",,_fFdKuf5jkjucLHCkBGfzM,,https://www.doenet.org/courseactivityeditor//_fFdKuf5jkjucLHCkBGfzM
#N/A,,,,,,,,,,"Link to 86. TR-Basics - given sin theta and range Q4, find other ratios",,_4y5AcVLijy9G9vovrnU2X,,https://www.doenet.org/courseactivityeditor//_4y5AcVLijy9G9vovrnU2X
#N/A,,,,,,,,HWI - 3.1A arcsin and arccos in degrees,,,,_Dcrd303sQxEUsnigsjB5k,,https://www.doenet.org/courseactivityeditor//_Dcrd303sQxEUsnigsjB5k
#N/A,,,,,,,,,,,,_ZZjaXZ30qL8IC5naC9wKQ,,https://www.doenet.org/courseactivityeditor//_ZZjaXZ30qL8IC5naC9wKQ
#N/A,,,,,,,,,,,,_NA4vMRbbaTwEFYpvCRtJt,,https://www.doenet.org/courseactivityeditor//_NA4vMRbbaTwEFYpvCRtJt
#N/A,,,,,,,,,,,,_DpAe1i458L7u1ss4IptnY,,https://www.doenet.org/courseactivityeditor//_DpAe1i458L7u1ss4IptnY
#N/A,,,,,,,,,,,,_HQ8Uit0KI4AjrF0Kf6rgW,,https://www.doenet.org/courseactivityeditor//_HQ8Uit0KI4AjrF0Kf6rgW
#N/A,,,,,,,,,,,,_JXNZHinFhIGar0P7eTpjn,,https://www.doenet.org/courseactivityeditor//_JXNZHinFhIGar0P7eTpjn
#N/A,,,,,,,,,,,,_Hk8jAQNOwYZITVMDplIAy,,https://www.doenet.org/courseactivityeditor//_Hk8jAQNOwYZITVMDplIAy
#N/A,,,,,,,,,,,,_TUx3j5dHwvGrc62Lyuitq,,https://www.doenet.org/courseactivityeditor//_TUx3j5dHwvGrc62Lyuitq
#N/A,,,,,,,,,,,,_e3VT3gXNVOIcRQu4wqTDU,,https://www.doenet.org/courseactivityeditor//_e3VT3gXNVOIcRQu4wqTDU
#N/A,,,,,,,,HWI - 3.1B arcsin and arccos in radians,,,,_ndN5ZjTJrRz2BShTlnza3,,https://www.doenet.org/courseactivityeditor//_ndN5ZjTJrRz2BShTlnza3
#N/A,,,,,,,,,,,,_lksihkqP8MtuPvStBudPk,,https://www.doenet.org/courseactivityeditor//_lksihkqP8MtuPvStBudPk
#N/A,,,,,,,,,,,,_QUOygeF2LGqLgEY1ZCv74,,https://www.doenet.org/courseactivityeditor//_QUOygeF2LGqLgEY1ZCv74
#N/A,,,,,,,,,,,,_bQnutgbiNIG98QK6vfLbJ,,https://www.doenet.org/courseactivityeditor//_bQnutgbiNIG98QK6vfLbJ
#N/A,,,,,,,,,,,,_4O5Wl31BfJlMJprVZDOiE,,https://www.doenet.org/courseactivityeditor//_4O5Wl31BfJlMJprVZDOiE
#N/A,,,,,,,,,,,,_3y7k2cYEMuOb34Ps315VX,,https://www.doenet.org/courseactivityeditor//_3y7k2cYEMuOb34Ps315VX
#N/A,,,,,,,,,,,,_bflop30LSfqNRwIeplwan,,https://www.doenet.org/courseactivityeditor//_bflop30LSfqNRwIeplwan
#N/A,,,,,,,,,,,,_lrrDvMP2hXeYIAZPhYxgw,,https://www.doenet.org/courseactivityeditor//_lrrDvMP2hXeYIAZPhYxgw
#N/A,,,,,,,,,,,,_MvGyCpM2wLfNeobmBX9fx,,https://www.doenet.org/courseactivityeditor//_MvGyCpM2wLfNeobmBX9fx
#N/A,,,,,,,,HWI - 2.2 Amplitude and Vertical Shift,,,,_l0GlFYk1xrb6LLW7wdROR,,https://www.doenet.org/courseactivityeditor//_l0GlFYk1xrb6LLW7wdROR
#N/A,,,,,,,,,,,,_D9CIutrpg7gfOSxajlO1k,,https://www.doenet.org/courseactivityeditor//_D9CIutrpg7gfOSxajlO1k
#N/A,,,,,,,,,Link to 1. TR-Graphs - amplitude of a*sin x,,,_baO7z3AVDRZhcVHnExc2e,,https://www.doenet.org/courseactivityeditor//_baO7z3AVDRZhcVHnExc2e
#N/A,,,,,,,,,Link to 2. TR-Graphs - amplitude of a*cos x,,,_XJxhNVUVnziPfjz7zphFl,,https://www.doenet.org/courseactivityeditor//_XJxhNVUVnziPfjz7zphFl
#N/A,,,,,,,,,Link to 3. TR-Graphs - amplitude of a*sin(x) +b,,,_sQLVX7nVVKxr4me4aR75D,,https://www.doenet.org/courseactivityeditor//_sQLVX7nVVKxr4me4aR75D
#N/A,,,,,,,,,Link to 4. TR-Graphs - amplitude of a*cos(x) + b,,,_SPvGybAcyobNayaXQnIMH,,https://www.doenet.org/courseactivityeditor//_SPvGybAcyobNayaXQnIMH
#N/A,,,,,,,,,Link to 5. TR-Graphs - find amplitude and vertical shift of sine function,,,_wdITTXprnazq7sfAbejU5,,https://www.doenet.org/courseactivityeditor//_wdITTXprnazq7sfAbejU5
#N/A,,,,,,,,,Link to 6. TR-Graphs - find amplitude and vertical shift of cosine function,,,_IQT8bigoGjszBMJJl6trR,,https://www.doenet.org/courseactivityeditor//_IQT8bigoGjszBMJJl6trR
#N/A,,,,,,,,HWI - 2.3A Wavelength Part 1,,,,_e79uWJ1MHeVmHe1n2X4Bx,,https://www.doenet.org/courseactivityeditor//_e79uWJ1MHeVmHe1n2X4Bx
#N/A,,,,,,,,,,,,_rMlGKFAYLEazpETwhhEuw,,https://www.doenet.org/courseactivityeditor//_rMlGKFAYLEazpETwhhEuw
#N/A,,,,,,,,,Link to 7. TR-Graphs - find wavelength and amplitude - sin,,,_IpMYhLFJg7XAl7Q22AYTr,,https://www.doenet.org/courseactivityeditor//_IpMYhLFJg7XAl7Q22AYTr
#N/A,,,,,,,,,Link to 8. TR-Graphs - find wavelength and amplitude - cos,,,_RlTXRKyTQNEDVMNhLF8gg,,https://www.doenet.org/courseactivityeditor//_RlTXRKyTQNEDVMNhLF8gg
#N/A,,,,,,,,,"Link to 9. TR-Graphs - find A,B,D sin",,,_0AMKusPHeCcLsjRvlP2UA,,https://www.doenet.org/courseactivityeditor//_0AMKusPHeCcLsjRvlP2UA
#N/A,,,,,,,,,"Link to 10. TR-Graphs - find A,B,D cos",,,_mJOzWojU1aMHK8ZwSZvzl,,https://www.doenet.org/courseactivityeditor//_mJOzWojU1aMHK8ZwSZvzl
#N/A,,,,,,,,HWI - 2.3B Wavelength Part 2,,,,_QyKNZRjUcJ5HAu9MqEdKi,,https://www.doenet.org/courseactivityeditor//_QyKNZRjUcJ5HAu9MqEdKi
#N/A,,,,,,,,,,,,_9ozyFAscuygAKvJxGui9K,,https://www.doenet.org/courseactivityeditor//_9ozyFAscuygAKvJxGui9K
#N/A,,,,,,,,,one of the TR0105,,,_oQCUgvdARZZeWPvsYP4GM,,https://www.doenet.org/courseactivityeditor//_oQCUgvdARZZeWPvsYP4GM
#N/A,,,,,,,,,,Link to 11. TR-Graphs - find equation of given sin curve,,_pEBk8oxG4UFpuYZulirbT,,https://www.doenet.org/courseactivityeditor//_pEBk8oxG4UFpuYZulirbT
#N/A,,,,,,,,,,Link to 12. TR-Graphs - find equation of given sin curve,,_Fcf1lbCy1sDHTDzBzzhqe,,https://www.doenet.org/courseactivityeditor//_Fcf1lbCy1sDHTDzBzzhqe
#N/A,,,,,,,,,,,,_3yDqBoMhGUx5kjTjIuD0t,,https://www.doenet.org/courseactivityeditor//_3yDqBoMhGUx5kjTjIuD0t
#N/A,,,,,,,,,one of the TR0106,,,_Ja7TFTvyV4BEcSTvxJg6l,,https://www.doenet.org/courseactivityeditor//_Ja7TFTvyV4BEcSTvxJg6l
#N/A,,,,,,,,,,Link to 13. TR-Graphs - find equation of given cosine curve,,_WfZo1Qk009p1wgJ0h40iJ,,https://www.doenet.org/courseactivityeditor//_WfZo1Qk009p1wgJ0h40iJ
#N/A,,,,,,,,,,Link to 14. TR-Graphs - find equation of given cosine curve,,_ld6Ne252ToAUl7DWjNEfo,,https://www.doenet.org/courseactivityeditor//_ld6Ne252ToAUl7DWjNEfo
#N/A,,,,,,,,,,,,_sOSfYhHMeyASFK76Ek8Ns,,https://www.doenet.org/courseactivityeditor//_sOSfYhHMeyASFK76Ek8Ns
#N/A,,,,,,,,,one of the TR0107,,,_dLSSAyqfWLhzF6ea8EiuI,,https://www.doenet.org/courseactivityeditor//_dLSSAyqfWLhzF6ea8EiuI
#N/A,,,,,,,,,,Link to 15. TR-Graphs - find equation from graph - sin or cos,,_YARLWO2syDmhOYtu9wd3a,,https://www.doenet.org/courseactivityeditor//_YARLWO2syDmhOYtu9wd3a
#N/A,,,,,,,,,,Link to 16. TR-Graphs - find equation from graph - sin or cos,,_etmCzNoPoazotuioAi13o,,https://www.doenet.org/courseactivityeditor//_etmCzNoPoazotuioAi13o
#N/A,,,,,,,,,,,,_LEAfPAJ6rvd48jbwVc9aa,,https://www.doenet.org/courseactivityeditor//_LEAfPAJ6rvd48jbwVc9aa
#N/A,,,,,,,,,Link to 17. TR-Graphs - determine wavelength from equation - sin,,,_0AuL7JPgQLlEiycMH9IFL,,https://www.doenet.org/courseactivityeditor//_0AuL7JPgQLlEiycMH9IFL
#N/A,,,,,,,,,Link to 18. TR-Graphs - determine wavelength from equation - cos,,,_3vrVyxrrRev4Fy0Dmgc4y,,https://www.doenet.org/courseactivityeditor//_3vrVyxrrRev4Fy0Dmgc4y
#N/A,,,,,,,,"HWI - 1.7B Given cot, csc or sec",,,,_nanwofA3YI8hwqbI6KFBW,,https://www.doenet.org/courseactivityeditor//_nanwofA3YI8hwqbI6KFBW
#N/A,,,,,,,,,,,,_9YNeq2WVEwAppfV79pBgE,,https://www.doenet.org/courseactivityeditor//_9YNeq2WVEwAppfV79pBgE
#N/A,,,,,,,,,"Link to 76. TR-Basics - given cot and Quad I, find other ratios",,,_dCB6kmZ4JGDEgZ8AA4QOf,,https://www.doenet.org/courseactivityeditor//_dCB6kmZ4JGDEgZ8AA4QOf
#N/A,,,,,,,,,"Link to 77. TR-Basics - given sec and quad I, find other ratios",,,_wz2MT6DrbsL8HtD41kSeZ,,https://www.doenet.org/courseactivityeditor//_wz2MT6DrbsL8HtD41kSeZ
#N/A,,,,,,,,,"Link to 78. TR-Basics - given csc and quad I, find other ratios",,,_FSc9gQWzsVmL8nDc6oYuQ,,https://www.doenet.org/courseactivityeditor//_FSc9gQWzsVmL8nDc6oYuQ
#N/A,,,,,,,,HWI - 3.2A Values of tan,,,,_ubo30tvhDOLzDRQlgLfjn,,https://www.doenet.org/courseactivityeditor//_ubo30tvhDOLzDRQlgLfjn
#N/A,,,,,,,,,,,,_ni2Gfma4naTlz36smwEJa,,https://www.doenet.org/courseactivityeditor//_ni2Gfma4naTlz36smwEJa
#N/A,,,,,,,,,Link to 95. TR-Basics - tan of neg Q4 angle in radians,,,_FoutaAWonzD3tZxEvynv1,,https://www.doenet.org/courseactivityeditor//_FoutaAWonzD3tZxEvynv1
#N/A,,,,,,,,,Link to 96. TR-Basics - tan of Q1 angle in radians,,,_UlbkpI4TzrgzUIwr6xnbb,,https://www.doenet.org/courseactivityeditor//_UlbkpI4TzrgzUIwr6xnbb
#N/A,,,,,,,,,Link to 97. TR-Basics - tan of Q2 angle in radians,,,_sAQvl6W9VUCaU03j0U8ms,,https://www.doenet.org/courseactivityeditor//_sAQvl6W9VUCaU03j0U8ms
#N/A,,,,,,,,,Link to 98. TR-Basics - tan of pos Q3 angle in radians,,,_zbVQ9S9SwNvQf8sMh2Y6a,,https://www.doenet.org/courseactivityeditor//_zbVQ9S9SwNvQf8sMh2Y6a
#N/A,,,,,,,,,Link to 99. TR-Basics - tan of pos Q4 angle in radians,,,_TD40q5OHq1p4isOy2Tv8H,,https://www.doenet.org/courseactivityeditor//_TD40q5OHq1p4isOy2Tv8H
#N/A,,,,,,,,,Link to 100. TR-Basics - fill-in tan any angle degrees,,,_44JUEJoeQIaokcAyHIVdW,,https://www.doenet.org/courseactivityeditor//_44JUEJoeQIaokcAyHIVdW
#N/A,,,,,,,,,Link to 101. TR-Basics - fill-in tan any angle radians,,,_6o5YurEmlqoTdCW1LGiEw,,https://www.doenet.org/courseactivityeditor//_6o5YurEmlqoTdCW1LGiEw
